Day Count,Date,Alberta Health Services Zone,Case Count,Death Count
93,6/6/2020,Calgary Zone,4837,110
93,6/6/2020,Central Zone,85,0
93,6/6/2020,Edmonton Zone,584,13
93,6/6/2020,North Zone,241,15
93,6/6/2020,South Zone,1256,10
93,6/6/2020,Unknown,12,0
94,6/7/2020,Calgary Zone,4848,110
94,6/7/2020,Central Zone,85,0
94,6/7/2020,Edmonton Zone,601,13
94,6/7/2020,North Zone,242,15
94,6/7/2020,South Zone,1264,10
94,6/7/2020,Unknown,12,0
95,6/8/2020,Calgary Zone,4856,110
95,6/8/2020,Central Zone,85,0
95,6/8/2020,Edmonton Zone,612,13
95,6/8/2020,North Zone,243,15
95,6/8/2020,South Zone,1265,10
95,6/8/2020,Unknown,12,0
96,6/9/2020,Calgary Zone,4868,110
96,6/9/2020,Central Zone,85,0
96,6/9/2020,Edmonton Zone,629,13
96,6/9/2020,North Zone,244,15
96,6/9/2020,South Zone,1265,10
96,6/9/2020,Unknown,12,0
97,6/10/2020,Calgary Zone,4889,110
97,6/10/2020,Central Zone,85,0
97,6/10/2020,Edmonton Zone,652,13
97,6/10/2020,North Zone,244,15
97,6/10/2020,South Zone,1266,10
97,6/10/2020,Unknown,12,0
98,6/11/2020,Calgary Zone,4913,110
98,6/11/2020,Central Zone,85,0
98,6/11/2020,Edmonton Zone,671,13
98,6/11/2020,North Zone,245,15
98,6/11/2020,South Zone,1267,10
98,6/11/2020,Unknown,12,0
99,6/12/2020,Calgary Zone,4936,111
99,6/12/2020,Central Zone,86,0
99,6/12/2020,Edmonton Zone,684,13
99,6/12/2020,North Zone,248,15
99,6/12/2020,South Zone,1269,10
99,6/12/2020,Unknown,12,0
100,6/13/2020,Calgary Zone,4945,111
100,6/13/2020,Central Zone,86,0
100,6/13/2020,Edmonton Zone,693,13
100,6/13/2020,North Zone,248,15
100,6/13/2020,South Zone,1272,10
100,6/13/2020,Unknown,12,0
101,6/14/2020,Calgary Zone,4968,111
101,6/14/2020,Central Zone,87,0
101,6/14/2020,Edmonton Zone,712,13
101,6/14/2020,North Zone,260,15
101,6/14/2020,South Zone,1274,10
101,6/14/2020,Unknown,12,0
102,6/15/2020,Calgary Zone,4987,111
102,6/15/2020,Central Zone,87,0
